Year,Location_ID,Company_ID,Track_type_ID,Value,Scalar_ID,UOM_ID
1990,CN,CNNL,21,18854,0,196
1990,CN,CNNL,22,12495,0,196
1990,CN,CNNL,23,10754,0,196
1990,CN,CNNL,12,4102,0,196
1990,CN,CNNL,31,699,0,196
1990,CN,CNNL,32,288,0,196
1990,CN,CNNL,33,3115,0,196
1990,CN,CNPC,1,30367,0,196
1990,CN,CNPC,11,21691,0,196
1990,CN,CNPC,21,9049,0,196
1990,CN,CNPC,22,7295,0,196
1990,CN,CNPC,23,5347,0,196
1990,CN,CNPC,12,8676,0,196
1990,CN,CNPC,31,3235,0,196
1990,CN,CNPC,32,3180,0,196
1990,CN,CNPC,33,2261,0,196
1990,CN,VIAR,1,0,0,196
1990,CN,VIAR,11,0,0,196
1990,CN,VIAR,21,0,0,196
1990,CN,VIAR,22,0,0,196
1990,CN,VIAR,23,0,0,196
1990,CN,VIAR,12,0,0,196
1990,CN,VIAR,31,0,0,196
1990,CN,VIAR,32,0,0,196
1990,CN,VIAR,33,0,0,196
1990,CN,RGRL,1,9438,0,196
1990,CN,RGRL,11,6556,0,196
1990,CN,RGRL,21,4555,0,196
1990,CN,RGRL,22,454,0,196
1990,CN,RGRL,23,1546,0,196
1990,CN,RGRL,12,2882,0,196
1990,CN,RGRL,31,1583,0,196
1990,CN,RGRL,32,285,0,196
1990,CN,RGRL,33,1014,0,196
1991,CN,ALL,1,85324,0,196
1991,CN,ALL,11,69916,0,196
1991,CN,ALL,21,32543,0,196
1991,CN,ALL,22,19851,0,196
1991,CN,ALL,23,17523,0,196
1991,CN,ALL,12,15408,0,196
1991,CN,ALL,31,5727,0,196
1991,CN,ALL,32,3362,0,196
1991,CN,ALL,33,6320,0,196
1991,CN,CNNL,1,45822,0,196
1991,CN,CNNL,11,41772,0,196
1991,CN,CNNL,21,18824,0,196
1991,CN,CNNL,22,12289,0,196
1991,CN,CNNL,23,10660,0,196
1991,CN,CNNL,12,4050,0,196
1991,CN,CNNL,31,903,0,196
1991,CN,CNNL,32,35,0,196
1991,CN,CNNL,33,3112,0,196
1991,CN,CNPC,1,29939,0,196
1991,CN,CNPC,11,21490,0,196
1991,CN,CNPC,21,9051,0,196
1991,CN,CNPC,22,7127,0,196
1991,CN,CNPC,23,5312,0,196
1991,CN,CNPC,12,8450,0,196
1991,CN,CNPC,31,3230,0,196
1991,CN,CNPC,32,3041,0,196
1991,CN,CNPC,33,2179,0,196
1991,CN,VIAR,1,0,0,196
1991,CN,VIAR,11,0,0,196
1991,CN,VIAR,21,0,0,196
1991,CN,VIAR,22,0,0,196
1991,CN,VIAR,23,0,0,196
1991,CN,VIAR,12,0,0,196
1991,CN,VIAR,31,0,0,196
1991,CN,VIAR,32,0,0,196
1991,CN,VIAR,33,0,0,196
1991,CN,RGRL,1,9562,0,196
1991,CN,RGRL,11,6654,0,196
1991,CN,RGRL,21,4668,0,196
1991,CN,RGRL,22,435,0,196
1991,CN,RGRL,23,1551,0,196
1991,CN,RGRL,12,2908,0,196
1991,CN,RGRL,31,1594,0,196
1991,CN,RGRL,32,285,0,196
1991,CN,RGRL,33,1029,0,196
1992,CN,ALL,1,84951,0,196
1992,CN,ALL,11,69929,0,196
1992,CN,ALL,21,33143,0,196
1992,CN,ALL,22,19459,0,196
1992,CN,ALL,23,17327,0,196
1992,CN,ALL,12,15022,0,196
1992,CN,ALL,31,5770,0,196
1992,CN,ALL,32,2982,0,196
1992,CN,ALL,33,6269,0,196
1992,CN,CNNL,1,45685,0,196
1992,CN,CNNL,11,41642,0,196
1992,CN,CNNL,21,19016,0,196
1992,CN,CNNL,22,12000,0,196
1992,CN,CNNL,23,10626,0,196
1992,CN,CNNL,12,4042,0,196
1992,CN,CNNL,31,903,0,196
1992,CN,CNNL,32,35,0,196
1992,CN,CNNL,33,3104,0,196
1992,CN,CNPC,1,29284,0,196
1992,CN,CNPC,11,21212,0,196
1992,CN,CNPC,21,9051,0,196
1992,CN,CNPC,22,7024,0,196
1992,CN,CNPC,23,5137,0,196
1992,CN,CNPC,12,8072,0,196
1992,CN,CNPC,31,3273,0,196
1992,CN,CNPC,32,2662,0,196
1992,CN,CNPC,33,2137,0,196
1992,CN,VIAR,1,0,0,196
1992,CN,VIAR,11,0,0,196
1992,CN,VIAR,21,0,0,196
1992,CN,VIAR,22,0,0,196
1992,CN,VIAR,23,0,0,196
1992,CN,VIAR,12,0,0,196
1992,CN,VIAR,31,0,0,196
1992,CN,VIAR,32,0,0,196
1992,CN,VIAR,33,0,0,196
1992,CN,RGRL,1,9982,0,196
1992,CN,RGRL,11,7074,0,196
1992,CN,RGRL,21,5076,0,196
1992,CN,RGRL,22,435,0,196
1992,CN,RGRL,23,1563,0,196
1992,CN,RGRL,12,2908,0,196
1992,CN,RGRL,31,1594,0,196
1992,CN,RGRL,32,285,0,196
1992,CN,RGRL,33,1029,0,196
1993,CN,ALL,1,84408,0,196
1993,CN,ALL,11,69642,0,196
1993,CN,ALL,21,33071,0,196
1993,CN,ALL,22,19350,0,196
1993,CN,ALL,23,17221,0,196
1993,CN,ALL,12,14766,0,196
1993,CN,ALL,31,4973,0,196
1993,CN,ALL,32,3622,0,196
1993,CN,ALL,33,6171,0,196
1993,CN,CNNL,1,45203,0,196
1993,CN,CNNL,11,41190,0,196
1993,CN,CNNL,21,18829,0,196
1993,CN,CNNL,22,11806,0,196
1993,CN,CNNL,23,10555,0,196
1993,CN,CNNL,12,4013,0,196
1993,CN,CNNL,31,909,0,196
1993,CN,CNNL,32,35,0,196
1993,CN,CNNL,33,3069,0,196
1993,CN,CNPC,1,28948,0,196
1993,CN,CNPC,11,21106,0,196
1993,CN,CNPC,21,8959,0,196
1993,CN,CNPC,22,7118,0,196
1993,CN,CNPC,23,5029,0,196
1993,CN,CNPC,12,7842,0,196
1993,CN,CNPC,31,2470,0,196
1993,CN,CNPC,32,3301,0,196
1993,CN,CNPC,33,2071,0,196
1993,CN,VIAR,1,0,0,196
1993,CN,VIAR,11,0,0,196
1993,CN,VIAR,21,0,0,196
1993,CN,VIAR,22,0,0,196
1993,CN,VIAR,23,0,0,196
1993,CN,VIAR,12,0,0,196
1993,CN,VIAR,31,0,0,196
1993,CN,VIAR,32,0,0,196
1993,CN,VIAR,33,0,0,196
1993,CN,RGRL,1,10257,0,196
1993,CN,RGRL,11,7346,0,196
1993,CN,RGRL,21,5283,0,196
1993,CN,RGRL,22,425,0,196
1993,CN,RGRL,23,1638,0,196
1993,CN,RGRL,12,2911,0,196
1993,CN,RGRL,31,1594,0,196
1993,CN,RGRL,32,286,0,196
1993,CN,RGRL,33,1031,0,196
1994,CN,ALL,1,83506,0,196
1994,CN,ALL,11,69362,0,196
1994,CN,ALL,21,33462,0,196
1994,CN,ALL,22,18777,0,196
1994,CN,ALL,23,17124,0,196
1994,CN,ALL,12,14144,0,196
1994,CN,ALL,31,4973,0,196
1994,CN,ALL,32,3061,0,196
1994,CN,ALL,33,6111,0,196
1994,CN,CNNL,1,44796,0,196
1994,CN,CNNL,11,40796,0,196
1994,CN,CNNL,21,18827,0,196
1994,CN,CNNL,22,11457,0,196
1994,CN,CNNL,23,10511,0,196
1994,CN,CNNL,12,4000,0,196
1994,CN,CNNL,31,907,0,196
1994,CN,CNNL,32,35,0,196
1994,CN,CNNL,33,3057,0,196
1994,CN,CNPC,1,28152,0,196
1994,CN,CNPC,11,20937,0,196
1994,CN,CNPC,21,8959,0,196
1994,CN,CNPC,22,6977,0,196
1994,CN,CNPC,23,5000,0,196
1994,CN,CNPC,12,7215,0,196
1994,CN,CNPC,31,2470,0,196
1994,CN,CNPC,32,2737,0,196
1994,CN,CNPC,33,2008,0,196
1994,CN,VIAR,1,0,0,196
1994,CN,VIAR,11,0,0,196
1994,CN,VIAR,21,0,0,196
1994,CN,VIAR,22,0,0,196
1994,CN,VIAR,23,0,0,196
1994,CN,VIAR,12,0,0,196
1994,CN,VIAR,31,0,0,196
1994,CN,VIAR,32,0,0,196
1994,CN,VIAR,33,0,0,196
1994,CN,RGRL,1,10558,0,196
1994,CN,RGRL,11,7629,0,196
1994,CN,RGRL,21,5675,0,196
1994,CN,RGRL,22,342,0,196
1994,CN,RGRL,23,1612,0,196
1994,CN,RGRL,12,2929,0,196
1994,CN,RGRL,31,1596,0,196
1994,CN,RGRL,32,288,0,196
1994,CN,RGRL,33,1045,0,196
1995,CN,ALL,1,80267,0,196
1995,CN,ALL,11,67653,0,196
1995,CN,ALL,21,33396,0,196
1995,CN,ALL,22,17668,0,196
1995,CN,ALL,23,16588,0,196
1995,CN,ALL,12,12615,0,196
1995,CN,ALL,31,4615,0,196
1995,CN,ALL,32,2309,0,196
1995,CN,ALL,33,5690,0,196
1995,CN,CNNL,1,42597,0,196
1995,CN,CNNL,11,39189,0,196
1995,CN,CNNL,21,18550,0,196
1995,CN,CNNL,22,10634,0,196
1995,CN,CNNL,23,10005,0,196
1995,CN,CNNL,12,3408,0,196
1995,CN,CNNL,31,497,0,196
1995,CN,CNNL,32,35,0,196
1995,CN,CNNL,33,2876,0,196
1995,CN,CNPC,1,26868,0,196
1995,CN,CNPC,11,20612,0,196
