Year,Location_ID,Indicator_ID,Industry_ID,Authority,Value,Scalar_ID,UOM_ID
2012,NB,INTCN,CULT,Licensed source,0,6,81
2012,NB,INTCN,CULT,Unlicensed source,23,6,81
2012,NB,INTCN,RTL,Licensed source,0,6,81
2012,NB,INTCN,RTL,Unlicensed source,5,6,81
2012,NB,GV,CULT,Licensed source,0,6,81
2012,NB,GV,CULT,Unlicensed source,47,6,81
2012,NB,GV,RTL,Licensed source,0,6,81
2012,NB,GV,RTL,Unlicensed source,21,6,81
2012,QC,DP,CULT,Licensed source,2,6,81
2012,QC,DP,CULT,Unlicensed source,1545,6,81
2012,QC,DP,RTL,Licensed source,0,6,81
2012,QC,DP,RTL,Unlicensed source,346,6,81
2012,QC,DMP,CULT,Licensed source,2,6,81
2012,QC,DMP,CULT,Unlicensed source,1521,6,81
2012,QC,DMP,RTL,Licensed source,0,6,81
2012,QC,DMP,RTL,Unlicensed source,346,6,81
2012,QC,DOP,CULT,Licensed source,0,6,81
2012,QC,DOP,CULT,Unlicensed source,24,6,81
2012,QC,DOP,RTL,Licensed source,0,6,81
2012,QC,DOP,RTL,Unlicensed source,0,6,81
2012,QC,INTCN,CULT,Licensed source,2,6,81
2012,QC,INTCN,CULT,Unlicensed source,524,6,81
2012,QC,INTCN,RTL,Licensed source,0,6,81
2012,QC,INTCN,RTL,Unlicensed source,69,6,81
2012,QC,GV,CULT,Licensed source,0,6,81
2012,QC,GV,CULT,Unlicensed source,1021,6,81
2012,QC,GV,RTL,Licensed source,0,6,81
2012,QC,GV,RTL,Unlicensed source,277,6,81
2012,ON,DP,CULT,Licensed source,4,6,81
2012,ON,DP,CULT,Unlicensed source,598,6,81
2012,ON,DP,RTL,Licensed source,0,6,81
2012,ON,DP,RTL,Unlicensed source,555,6,81
2012,ON,DMP,CULT,Licensed source,0,6,81
2012,ON,DMP,CULT,Unlicensed source,580,6,81
2012,ON,DMP,RTL,Licensed source,0,6,81
2012,ON,DMP,RTL,Unlicensed source,555,6,81
2012,ON,DOP,CULT,Licensed source,4,6,81
2012,ON,DOP,CULT,Unlicensed source,18,6,81
2012,ON,DOP,RTL,Licensed source,0,6,81
2012,ON,DOP,RTL,Unlicensed source,0,6,81
2012,ON,INTCN,CULT,Licensed source,3,6,81
2012,ON,INTCN,CULT,Unlicensed source,202,6,81
2012,ON,INTCN,RTL,Licensed source,0,6,81
2012,ON,INTCN,RTL,Unlicensed source,111,6,81
2012,ON,GV,CULT,Licensed source,1,6,81
2012,ON,GV,CULT,Unlicensed source,396,6,81
2012,ON,GV,RTL,Licensed source,0,6,81
2012,ON,GV,RTL,Unlicensed source,444,6,81
2012,PR,DP,CULT,Licensed source,4,6,81
2012,PR,DP,CULT,Unlicensed source,160,6,81
2012,PR,DP,RTL,Licensed source,0,6,81
2012,PR,DP,RTL,Unlicensed source,229,6,81
2012,PR,DMP,CULT,Licensed source,0,6,81
2012,PR,DMP,CULT,Unlicensed source,155,6,81
2012,PR,DMP,RTL,Licensed source,0,6,81
2012,PR,DMP,RTL,Unlicensed source,229,6,81
2012,PR,DOP,CULT,Licensed source,4,6,81
2012,PR,DOP,CULT,Unlicensed source,5,6,81
2012,PR,DOP,RTL,Licensed source,0,6,81
2012,PR,DOP,RTL,Unlicensed source,0,6,81
2012,PR,INTCN,CULT,Licensed source,3,6,81
2012,PR,INTCN,CULT,Unlicensed source,61,6,81
2012,PR,INTCN,RTL,Licensed source,0,6,81
2012,PR,INTCN,RTL,Unlicensed source,46,6,81
2012,PR,GV,CULT,Licensed source,1,6,81
2012,PR,GV,CULT,Unlicensed source,99,6,81
2012,PR,GV,RTL,Licensed source,0,6,81
2012,PR,GV,RTL,Unlicensed source,184,6,81
2012,MB,DP,CULT,Licensed source,0,6,81
2012,MB,DP,CULT,Unlicensed source,33,6,81
2012,MB,DP,RTL,Licensed source,0,6,81
2012,MB,DP,RTL,Unlicensed source,46,6,81
2012,MB,DMP,CULT,Licensed source,0,6,81
2012,MB,DMP,CULT,Unlicensed source,32,6,81
2012,MB,DMP,RTL,Licensed source,0,6,81
2012,MB,DMP,RTL,Unlicensed source,46,6,81
2012,MB,DOP,CULT,Licensed source,0,6,81
2012,MB,DOP,CULT,Unlicensed source,1,6,81
2012,MB,DOP,RTL,Licensed source,0,6,81
2012,MB,DOP,RTL,Unlicensed source,0,6,81
2012,MB,INTCN,CULT,Licensed source,0,6,81
2012,MB,INTCN,CULT,Unlicensed source,11,6,81
2012,MB,INTCN,RTL,Licensed source,0,6,81
2012,MB,INTCN,RTL,Unlicensed source,9,6,81
2012,MB,GV,CULT,Licensed source,0,6,81
2012,MB,GV,CULT,Unlicensed source,21,6,81
2012,MB,GV,RTL,Licensed source,0,6,81
2012,MB,GV,RTL,Unlicensed source,37,6,81
2012,SK,DP,CULT,Licensed source,0,6,81
2012,SK,DP,CULT,Unlicensed source,24,6,81
2012,SK,DP,RTL,Licensed source,0,6,81
