Year,Location_ID,Company_ID,Usage_ID,Value,Scalar_ID,UOM_ID
1996,CN,RGRL,DWT,2378,3,203
1996,CN,RGRL,COST,49053405,0,81
1997,CN,ALL,D,2204130,3,203
1997,CN,ALL,DF,2011506,3,203
1997,CN,ALL,DP,64807,3,203
1997,CN,ALL,DYS,115425,3,203
1997,CN,ALL,DWT,12390,3,203
1997,CN,ALL,COST,720134384,0,81
1997,CN,CNNL,D,1072255,3,203
1997,CN,CNNL,DF,1018197,3,203
1997,CN,CNNL,DP,0,3,203
1997,CN,CNNL,DYS,51003,3,203
1997,CN,CNNL,DWT,3056,3,203
1997,CN,CNNL,COST,356912660,0,81
1997,CN,CNPC,D,870381,3,203
1997,CN,CNPC,DF,818037,3,203
1997,CN,CNPC,DP,0,3,203
1997,CN,CNPC,DYS,50538,3,203
1997,CN,CNPC,DWT,1805,3,203
1997,CN,CNPC,COST,280382550,0,81
1997,CN,VIAR,D,60725,3,203
1997,CN,VIAR,DF,0,3,203
1997,CN,VIAR,DP,60725,3,203
1997,CN,VIAR,DYS,0,3,203
1997,CN,VIAR,DWT,0,3,203
1997,CN,VIAR,COST,19821813,0,81
1997,CN,RGRL,D,200768,3,203
1997,CN,RGRL,DF,175273,3,203
1997,CN,RGRL,DP,4083,3,203
1997,CN,RGRL,DYS,13884,3,203
1997,CN,RGRL,DWT,7529,3,203
1997,CN,RGRL,COST,63017361,0,81
1998,CN,ALL,D,2077113,3,203
1998,CN,ALL,DF,1887488,3,203
1998,CN,ALL,DP,62823,3,203
1998,CN,ALL,DYS,116080,3,203
1998,CN,ALL,DWT,10722,3,203
1998,CN,ALL,COST,582158704,0,81
1998,CN,CNNL,D,1002939,3,203
1998,CN,CNNL,DF,944588,3,203
1998,CN,CNNL,DP,0,3,203
1998,CN,CNNL,DYS,54215,3,203
1998,CN,CNNL,DWT,4136,3,203
1998,CN,CNNL,COST,274829019,0,81
1998,CN,CNPC,D,815556,3,203
1998,CN,CNPC,DF,765316,3,203
1998,CN,CNPC,DP,0,3,203
1998,CN,CNPC,DYS,48111,3,203
1998,CN,CNPC,DWT,2128,3,203
1998,CN,CNPC,COST,235867167,0,81
1998,CN,VIAR,D,58588,3,203
1998,CN,VIAR,DF,0,3,203
1998,CN,VIAR,DP,58403,3,203
1998,CN,VIAR,DYS,185,3,203
1998,CN,VIAR,DWT,0,3,203
1998,CN,VIAR,COST,17435799,0,81
1998,CN,RGRL,D,200030,3,203
1998,CN,RGRL,DF,177583,3,203
1998,CN,RGRL,DP,4420,3,203
1998,CN,RGRL,DYS,13569,3,203
1998,CN,RGRL,DWT,4458,3,203
1998,CN,RGRL,COST,54026719,0,81
1999,CN,ALL,D,1950034,3,203
1999,CN,ALL,DF,1784841,3,203
1999,CN,ALL,DP,62921,3,203
1999,CN,ALL,DYS,94782,3,203
1999,CN,ALL,DWT,7491,3,203
1999,CN,ALL,COST,551887072,0,81
1999,CN,CNNL,D,882300,3,203
1999,CN,CNNL,DF,833304,3,203
1999,CN,CNNL,DP,0,3,203
1999,CN,CNNL,DYS,47904,3,203
1999,CN,CNNL,DWT,1092,3,203
1999,CN,CNNL,COST,240069607,0,81
1999,CN,CNPC,D,798652,3,203
1999,CN,CNPC,DF,762354,3,203
1999,CN,CNPC,DP,0,3,203
1999,CN,CNPC,DYS,32868,3,203
1999,CN,CNPC,DWT,3430,3,203
1999,CN,CNPC,COST,228045217,0,81
1999,CN,VIAR,D,58371,3,203
1999,CN,VIAR,DF,0,3,203
1999,CN,VIAR,DP,58195,3,203
1999,CN,VIAR,DYS,175,3,203
1999,CN,VIAR,DWT,0,3,203
1999,CN,VIAR,COST,17454192,0,81
1999,CN,RGRL,D,210713,3,203
1999,CN,RGRL,DF,189183,3,203
1999,CN,RGRL,DP,4726,3,203
1999,CN,RGRL,DYS,13835,3,203
1999,CN,RGRL,DWT,2969,3,203
1999,CN,RGRL,COST,66318056,0,81
2000,CN,ALL,D,1977051,3,203
2000,CN,ALL,DF,1817271,3,203
2000,CN,ALL,DP,66306,3,203
2000,CN,ALL,DYS,87064,3,203
2000,CN,ALL,DWT,6409,3,203
2000,CN,ALL,COST,769755416,0,81
2000,CN,CNNL,D,866120,3,203
2000,CN,CNNL,DF,819369,3,203
2000,CN,CNNL,DP,0,3,203
2000,CN,CNNL,DYS,45709,3,203
2000,CN,CNNL,DWT,1042,3,203
2000,CN,CNNL,COST,323300204,0,81
2000,CN,CNPC,D,819023,3,203
2000,CN,CNPC,DF,791698,3,203
2000,CN,CNPC,DP,0,3,203
2000,CN,CNPC,DYS,25183,3,203
2000,CN,CNPC,DWT,2143,3,203
2000,CN,CNPC,COST,337645187,0,81
2000,CN,VIAR,D,60955,3,203
2000,CN,VIAR,DF,0,3,203
2000,CN,VIAR,DP,60756,3,203
2000,CN,VIAR,DYS,199,3,203
2000,CN,VIAR,DWT,0,3,203
2000,CN,VIAR,COST,21110011,0,81
2000,CN,RGRL,D,230953,3,203
2000,CN,RGRL,DF,206205,3,203
2000,CN,RGRL,DP,5550,3,203
2000,CN,RGRL,DYS,15973,3,203
2000,CN,RGRL,DWT,3225,3,203
2000,CN,RGRL,COST,87700014,0,81
2001,CN,ALL,D,1982053,3,203
2001,CN,ALL,DF,1821474,3,203
2001,CN,ALL,DP,66789,3,203
2001,CN,ALL,DYS,86397,3,203
2001,CN,ALL,DWT,7393,3,203
2001,CN,ALL,COST,798357529,0,81
2001,CN,CNNL,D,904984,3,203
2001,CN,CNNL,DF,856010,3,203
2001,CN,CNNL,DP,0,3,203
2001,CN,CNNL,DYS,47883,3,203
2001,CN,CNNL,DWT,1091,3,203
2001,CN,CNNL,COST,361620149,0,81
2001,CN,CNPC,D,784208,3,203
2001,CN,CNPC,DF,758391,3,203
2001,CN,CNPC,DP,0,3,203
2001,CN,CNPC,DYS,22744,3,203
2001,CN,CNPC,DWT,3072,3,203
2001,CN,CNPC,COST,320106500,0,81
2001,CN,VIAR,D,61391,3,203
2001,CN,VIAR,DF,0,3,203
2001,CN,VIAR,DP,61197,3,203
2001,CN,VIAR,DYS,195,3,203
2001,CN,VIAR,DWT,0,3,203
2001,CN,VIAR,COST,26457234,0,81
2001,CN,RGRL,D,231471,3,203
2001,CN,RGRL,DF,207073,3,203
2001,CN,RGRL,DP,5593,3,203
2001,CN,RGRL,DYS,15576,3,203
2001,CN,RGRL,DWT,3230,3,203
2001,CN,RGRL,COST,90173646,0,81
2002,CN,ALL,D,1969741,3,203
2002,CN,ALL,DF,1819361,3,203
2002,CN,ALL,DP,68128,3,203
2002,CN,ALL,DYS,74764,3,203
