REF_DATE,GEO,DGUID,Companies,Length of track,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VALUE
1988,Canada,2016A000011124,Regional railways,"Line owned, first main track",Kilometres,196,units ,0,4222
1988,Canada,2016A000011124,Regional railways,"Line owned, second and other main track",Kilometres,196,units ,0,429
1988,Canada,2016A000011124,Regional railways,"Line owned, industrial, yard and sidings",Kilometres,196,units ,0,1491
1988,Canada,2016A000011124,Regional railways,"Total line operated under lease, contract, trackage rights or jointly owned",Kilometres,196,units ,0,2838
1988,Canada,2016A000011124,Regional railways,"Line operated under lease, contract, trackage rights or jointly owned, first main track",Kilometres,196,units ,0,1567
1988,Canada,2016A000011124,Regional railways,"Line operated under lease, contract, trackage rights or jointly owned, second and other main track",Kilometres,196,units ,0,312
1988,Canada,2016A000011124,Regional railways,"Line operated under lease, contract, trackage rights or jointly owned, industrial, yard and sidings",Kilometres,196,units ,0,959
1989,Canada,2016A000011124,Total companies,Total track operated,Kilometres,196,units ,0,88165
1989,Canada,2016A000011124,Total companies,Total line owned,Kilometres,196,units ,0,71615
1989,Canada,2016A000011124,Total companies,"Line owned, first main track",Kilometres,196,units ,0,32524
1989,Canada,2016A000011124,Total companies,"Line owned, second and other main track",Kilometres,196,units ,0,21142
1989,Canada,2016A000011124,Total companies,"Line owned, industrial, yard and sidings",Kilometres,196,units ,0,17948
1989,Canada,2016A000011124,Total companies,"Total line operated under lease, contract, trackage rights or jointly owned",Kilometres,196,units ,0,16551
1989,Canada,2016A000011124,Total companies,"Line operated under lease, contract, trackage rights or jointly owned, first main track",Kilometres,196,units ,0,5833
1989,Canada,2016A000011124,Total companies,"Line operated under lease, contract, trackage rights or jointly owned, second and other main track",Kilometres,196,units ,0,4207
1989,Canada,2016A000011124,Total companies,"Line operated under lease, contract, trackage rights or jointly owned, industrial, yard and sidings",Kilometres,196,units ,0,6511
1989,Canada,2016A000011124,Canadian National,Total track operated,Kilometres,196,units ,0,47243
1989,Canada,2016A000011124,Canadian National,Total line owned,Kilometres,196,units ,0,42798
1989,Canada,2016A000011124,Canadian National,"Line owned, first main track",Kilometres,196,units ,0,19156
1989,Canada,2016A000011124,Canadian National,"Line owned, second and other main track",Kilometres,196,units ,0,12721
1989,Canada,2016A000011124,Canadian National,"Line owned, industrial, yard and sidings",Kilometres,196,units ,0,10922
1989,Canada,2016A000011124,Canadian National,"Total line operated under lease, contract, trackage rights or jointly owned",Kilometres,196,units ,0,4445
1989,Canada,2016A000011124,Canadian National,"Line operated under lease, contract, trackage rights or jointly owned, first main track",Kilometres,196,units ,0,961
1989,Canada,2016A000011124,Canadian National,"Line operated under lease, contract, trackage rights or jointly owned, second and other main track",Kilometres,196,units ,0,288
1989,Canada,2016A000011124,Canadian National,"Line operated under lease, contract, trackage rights or jointly owned, industrial, yard and sidings",Kilometres,196,units ,0,3195
1989,Canada,2016A000011124,Canadian Pacific,Total track operated,Kilometres,196,units ,0,31720
1989,Canada,2016A000011124,Canadian Pacific,Total line owned,Kilometres,196,units ,0,22442
1989,Canada,2016A000011124,Canadian Pacific,"Line owned, first main track",Kilometres,196,units ,0,9054
1989,Canada,2016A000011124,Canadian Pacific,"Line owned, second and other main track",Kilometres,196,units ,0,7960
1989,Canada,2016A000011124,Canadian Pacific,"Line owned, industrial, yard and sidings",Kilometres,196,units ,0,5427
1989,Canada,2016A000011124,Canadian Pacific,"Total line operated under lease, contract, trackage rights or jointly owned",Kilometres,196,units ,0,9278
1989,Canada,2016A000011124,Canadian Pacific,"Line operated under lease, contract, trackage rights or jointly owned, first main track",Kilometres,196,units ,0,3289
1989,Canada,2016A000011124,Canadian Pacific,"Line operated under lease, contract, trackage rights or jointly owned, second and other main track",Kilometres,196,units ,0,3634
1989,Canada,2016A000011124,Canadian Pacific,"Line operated under lease, contract, trackage rights or jointly owned, industrial, yard and sidings",Kilometres,196,units ,0,2356
1989,Canada,2016A000011124,VIA Rail,Total track operated,Kilometres,196,units ,0,0
1989,Canada,2016A000011124,VIA Rail,Total line owned,Kilometres,196,units ,0,0
1989,Canada,2016A000011124,VIA Rail,"Line owned, first main track",Kilometres,196,units ,0,0
1989,Canada,2016A000011124,VIA Rail,"Line owned, second and other main track",Kilometres,196,units ,0,0
1989,Canada,2016A000011124,VIA Rail,"Line owned, industrial, yard and sidings",Kilometres,196,units ,0,0
1989,Canada,2016A000011124,VIA Rail,"Total line operated under lease, contract, trackage rights or jointly owned",Kilometres,196,units ,0,0
1989,Canada,2016A000011124,VIA Rail,"Line operated under lease, contract, trackage rights or jointly owned, first main track",Kilometres,196,units ,0,0
1989,Canada,2016A000011124,VIA Rail,"Line operated under lease, contract, trackage rights or jointly owned, second and other main track",Kilometres,196,units ,0,0
1989,Canada,2016A000011124,VIA Rail,"Line operated under lease, contract, trackage rights or jointly owned, industrial, yard and sidings",Kilometres,196,units ,0,0
1989,Canada,2016A000011124,Regional railways,Total track operated,Kilometres,196,units ,0,9202
1989,Canada,2016A000011124,Regional railways,Total line owned,Kilometres,196,units ,0,6374
1989,Canada,2016A000011124,Regional railways,"Line owned, first main track",Kilometres,196,units ,0,4315
1989,Canada,2016A000011124,Regional railways,"Line owned, second and other main track",Kilometres,196,units ,0,461
1989,Canada,2016A000011124,Regional railways,"Line owned, industrial, yard and sidings",Kilometres,196,units ,0,1599
1989,Canada,2016A000011124,Regional railways,"Total line operated under lease, contract, trackage rights or jointly owned",Kilometres,196,units ,0,2828
1989,Canada,2016A000011124,Regional railways,"Line operated under lease, contract, trackage rights or jointly owned, first main track",Kilometres,196,units ,0,1583
1989,Canada,2016A000011124,Regional railways,"Line operated under lease, contract, trackage rights or jointly owned, second and other main track",Kilometres,196,units ,0,285
1989,Canada,2016A000011124,Regional railways,"Line operated under lease, contract, trackage rights or jointly owned, industrial, yard and sidings",Kilometres,196,units ,0,960
1990,Canada,2016A000011124,Total companies,Total track operated,Kilometres,196,units ,0,86010
1990,Canada,2016A000011124,Total companies,Total line owned,Kilometres,196,units ,0,70350
1990,Canada,2016A000011124,Total companies,"Line owned, first main track",Kilometres,196,units ,0,32459
1990,Canada,2016A000011124,Total companies,"Line owned, second and other main track",Kilometres,196,units ,0,20244
1990,Canada,2016A000011124,Total companies,"Line owned, industrial, yard and sidings",Kilometres,196,units ,0,17647
1990,Canada,2016A000011124,Total companies,"Total line operated under lease, contract, trackage rights or jointly owned",Kilometres,196,units ,0,15660
1990,Canada,2016A000011124,Total companies,"Line operated under lease, contract, trackage rights or jointly owned, first main track",Kilometres,196,units ,0,5517
1990,Canada,2016A000011124,Total companies,"Line operated under lease, contract, trackage rights or jointly owned, second and other main track",Kilometres,196,units ,0,3754
1990,Canada,2016A000011124,Total companies,"Line operated under lease, contract, trackage rights or jointly owned, industrial, yard and sidings",Kilometres,196,units ,0,6390
1990,Canada,2016A000011124,Canadian National,Total track operated,Kilometres,196,units ,0,46205
1990,Canada,2016A000011124,Canadian National,Total line owned,Kilometres,196,units ,0,42103
1990,Canada,2016A000011124,Canadian National,"Line owned, first main track",Kilometres,196,units ,0,18854
1990,Canada,2016A000011124,Canadian National,"Line owned, second and other main track",Kilometres,196,units ,0,12495
1990,Canada,2016A000011124,Canadian National,"Line owned, industrial, yard and sidings",Kilometres,196,units ,0,10754
1990,Canada,2016A000011124,Canadian National,"Total line operated under lease, contract, trackage rights or jointly owned",Kilometres,196,units ,0,4102
1990,Canada,2016A000011124,Canadian National,"Line operated under lease, contract, trackage rights or jointly owned, first main track",Kilometres,196,units ,0,699
1990,Canada,2016A000011124,Canadian National,"Line operated under lease, contract, trackage rights or jointly owned, second and other main track",Kilometres,196,units ,0,288
1990,Canada,2016A000011124,Canadian National,"Line operated under lease, contract, trackage rights or jointly owned, industrial, yard and sidings",Kilometres,196,units ,0,3115
1990,Canada,2016A000011124,Canadian Pacific,Total track operated,Kilometres,196,units ,0,30367
