REF_DATE,GEO,DGUID,Companies,Diesel fuel consumption,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VALUE
1990,Canada,2016A000011124,VIA Rail,"Diesel, yard switching",Litres,203,thousands,3,748
1990,Canada,2016A000011124,VIA Rail,"Diesel, work train",Litres,203,thousands,3,0
1990,Canada,2016A000011124,VIA Rail,Total cost of diesel fuel,Dollars,81,units ,0,23942534
1990,Canada,2016A000011124,Regional railways,Total diesel,Litres,203,thousands,3,150898
1990,Canada,2016A000011124,Regional railways,"Diesel, freight",Litres,203,thousands,3,127944
1990,Canada,2016A000011124,Regional railways,"Diesel, passenger",Litres,203,thousands,3,6769
1990,Canada,2016A000011124,Regional railways,"Diesel, yard switching",Litres,203,thousands,3,12384
1990,Canada,2016A000011124,Regional railways,"Diesel, work train",Litres,203,thousands,3,3801
1990,Canada,2016A000011124,Regional railways,Total cost of diesel fuel,Dollars,81,units ,0,48347446
1991,Canada,2016A000011124,Total companies,Total diesel,Litres,203,thousands,3,1972528
1991,Canada,2016A000011124,Total companies,"Diesel, freight",Litres,203,thousands,3,1774337
1991,Canada,2016A000011124,Total companies,"Diesel, passenger",Litres,203,thousands,3,70096
1991,Canada,2016A000011124,Total companies,"Diesel, yard switching",Litres,203,thousands,3,116916
1991,Canada,2016A000011124,Total companies,"Diesel, work train",Litres,203,thousands,3,11179
1991,Canada,2016A000011124,Total companies,Total cost of diesel fuel,Dollars,81,units ,0,641975222
1991,Canada,2016A000011124,Canadian National,Total diesel,Litres,203,thousands,3,911080
1991,Canada,2016A000011124,Canadian National,"Diesel, freight",Litres,203,thousands,3,849186
1991,Canada,2016A000011124,Canadian National,"Diesel, passenger",Litres,203,thousands,3,0
1991,Canada,2016A000011124,Canadian National,"Diesel, yard switching",Litres,203,thousands,3,58616
1991,Canada,2016A000011124,Canadian National,"Diesel, work train",Litres,203,thousands,3,3277
1991,Canada,2016A000011124,Canadian National,Total cost of diesel fuel,Dollars,81,units ,0,324432341
1991,Canada,2016A000011124,Canadian Pacific,Total diesel,Litres,203,thousands,3,845596
1991,Canada,2016A000011124,Canadian Pacific,"Diesel, freight",Litres,203,thousands,3,794465
1991,Canada,2016A000011124,Canadian Pacific,"Diesel, passenger",Litres,203,thousands,3,0
1991,Canada,2016A000011124,Canadian Pacific,"Diesel, yard switching",Litres,203,thousands,3,46460
