REF_DATE,GEO,DGUID,Level of education,Statistics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VALUE
2007/2008,Manitoba,2016A000246,All levels combined,Constant dollars,Dollars,81,units ,0,3642
2007/2008,Manitoba,2016A000246,All levels combined,Percentage distribution of  expenditures,Percent,239,units ,0,100
2007/2008,Manitoba,2016A000246,All levels combined,Index of change,Index,160,units ,0,100
2007/2008,Manitoba,2016A000246,"Pre-elementary, elementary-secondary",Constant dollars,Dollars,81,units ,0,2442
2007/2008,Manitoba,2016A000246,"Pre-elementary, elementary-secondary",Percentage distribution of  expenditures,Percent,239,units ,0,67.1
2007/2008,Manitoba,2016A000246,"Pre-elementary, elementary-secondary",Index of change,Index,160,units ,0,100
2007/2008,Manitoba,2016A000246,Post-secondary levels combined,Constant dollars,Dollars,81,units ,0,1200
2007/2008,Manitoba,2016A000246,Post-secondary levels combined,Percentage distribution of  expenditures,Percent,239,units ,0,32.9
2007/2008,Manitoba,2016A000246,Post-secondary levels combined,Index of change,Index,160,units ,0,100
2007/2008,Manitoba,2016A000246,College,Constant dollars,Dollars,81,units ,0,413
2007/2008,Manitoba,2016A000246,College,Percentage distribution of  expenditures,Percent,239,units ,0,11.3
2007/2008,Manitoba,2016A000246,College,Index of change,Index,160,units ,0,100
2007/2008,Manitoba,2016A000246,University,Constant dollars,Dollars,81,units ,0,787
2007/2008,Manitoba,2016A000246,University,Percentage distribution of  expenditures,Percent,239,units ,0,21.6
2007/2008,Manitoba,2016A000246,University,Index of change,Index,160,units ,0,100
2007/2008,Saskatchewan,2016A000247,All levels combined,Constant dollars,Dollars,81,units ,0,4232
2007/2008,Saskatchewan,2016A000247,All levels combined,Percentage distribution of  expenditures,Percent,239,units ,0,100
2007/2008,Saskatchewan,2016A000247,All levels combined,Index of change,Index,160,units ,0,100
2007/2008,Saskatchewan,2016A000247,"Pre-elementary, elementary-secondary",Constant dollars,Dollars,81,units ,0,2536
2007/2008,Saskatchewan,2016A000247,"Pre-elementary, elementary-secondary",Percentage distribution of  expenditures,Percent,239,units ,0,59.9
2007/2008,Saskatchewan,2016A000247,"Pre-elementary, elementary-secondary",Index of change,Index,160,units ,0,100
2007/2008,Saskatchewan,2016A000247,Post-secondary levels combined,Constant dollars,Dollars,81,units ,0,1697
2007/2008,Saskatchewan,2016A000247,Post-secondary levels combined,Percentage distribution of  expenditures,Percent,239,units ,0,40.1
2007/2008,Saskatchewan,2016A000247,Post-secondary levels combined,Index of change,Index,160,units ,0,100
2007/2008,Saskatchewan,2016A000247,College,Constant dollars,Dollars,81,units ,0,608
2007/2008,Saskatchewan,2016A000247,College,Percentage distribution of  expenditures,Percent,239,units ,0,14.4
2007/2008,Saskatchewan,2016A000247,College,Index of change,Index,160,units ,0,100
2007/2008,Saskatchewan,2016A000247,University,Constant dollars,Dollars,81,units ,0,1088
2007/2008,Saskatchewan,2016A000247,University,Percentage distribution of  expenditures,Percent,239,units ,0,25.7
2007/2008,Saskatchewan,2016A000247,University,Index of change,Index,160,units ,0,100
2007/2008,Alberta,2016A000248,All levels combined,Constant dollars,Dollars,81,units ,0,11397
2007/2008,Alberta,2016A000248,All levels combined,Percentage distribution of  expenditures,Percent,239,units ,0,100
2007/2008,Alberta,2016A000248,All levels combined,Index of change,Index,160,units ,0,100
2007/2008,Alberta,2016A000248,"Pre-elementary, elementary-secondary",Constant dollars,Dollars,81,units ,0,6372
2007/2008,Alberta,2016A000248,"Pre-elementary, elementary-secondary",Percentage distribution of  expenditures,Percent,239,units ,0,55.9
2007/2008,Alberta,2016A000248,"Pre-elementary, elementary-secondary",Index of change,Index,160,units ,0,100
2007/2008,Alberta,2016A000248,Post-secondary levels combined,Constant dollars,Dollars,81,units ,0,5026
2007/2008,Alberta,2016A000248,Post-secondary levels combined,Percentage distribution of  expenditures,Percent,239,units ,0,44.1
2007/2008,Alberta,2016A000248,Post-secondary levels combined,Index of change,Index,160,units ,0,100
2007/2008,Alberta,2016A000248,College,Constant dollars,Dollars,81,units ,0,2152
2007/2008,Alberta,2016A000248,College,Percentage distribution of  expenditures,Percent,239,units ,0,18.9
2007/2008,Alberta,2016A000248,College,Index of change,Index,160,units ,0,100
2007/2008,Alberta,2016A000248,University,Constant dollars,Dollars,81,units ,0,2874
2007/2008,Alberta,2016A000248,University,Percentage distribution of  expenditures,Percent,239,units ,0,25.2
2007/2008,Alberta,2016A000248,University,Index of change,Index,160,units ,0,100
2007/2008,British Columbia,2016A000259,All levels combined,Constant dollars,Dollars,81,units ,0,11770
2007/2008,British Columbia,2016A000259,All levels combined,Percentage distribution of  expenditures,Percent,239,units ,0,100
2007/2008,British Columbia,2016A000259,All levels combined,Index of change,Index,160,units ,0,100
2007/2008,British Columbia,2016A000259,"Pre-elementary, elementary-secondary",Constant dollars,Dollars,81,units ,0,6662
2007/2008,British Columbia,2016A000259,"Pre-elementary, elementary-secondary",Percentage distribution of  expenditures,Percent,239,units ,0,56.6
2007/2008,British Columbia,2016A000259,"Pre-elementary, elementary-secondary",Index of change,Index,160,units ,0,100
2007/2008,British Columbia,2016A000259,Post-secondary levels combined,Constant dollars,Dollars,81,units ,0,5109
2007/2008,British Columbia,2016A000259,Post-secondary levels combined,Percentage distribution of  expenditures,Percent,239,units ,0,43.4
2007/2008,British Columbia,2016A000259,Post-secondary levels combined,Index of change,Index,160,units ,0,100
2007/2008,British Columbia,2016A000259,College,Constant dollars,Dollars,81,units ,0,2028
2007/2008,British Columbia,2016A000259,College,Percentage distribution of  expenditures,Percent,239,units ,0,17.2
2007/2008,British Columbia,2016A000259,College,Index of change,Index,160,units ,0,100
2007/2008,British Columbia,2016A000259,University,Constant dollars,Dollars,81,units ,0,3081
2007/2008,British Columbia,2016A000259,University,Percentage distribution of  expenditures,Percent,239,units ,0,26.2
2007/2008,British Columbia,2016A000259,University,Index of change,Index,160,units ,0,100
2007/2008,Yukon,2016A000260,All levels combined,Constant dollars,Dollars,81,units ,0,151
2007/2008,Yukon,2016A000260,All levels combined,Percentage distribution of  expenditures,Percent,239,units ,0,100
2007/2008,Yukon,2016A000260,All levels combined,Index of change,Index,160,units ,0,100
2007/2008,Yukon,2016A000260,"Pre-elementary, elementary-secondary",Constant dollars,Dollars,81,units ,0,108
2007/2008,Yukon,2016A000260,"Pre-elementary, elementary-secondary",Percentage distribution of  expenditures,Percent,239,units ,0,71.3
2007/2008,Yukon,2016A000260,"Pre-elementary, elementary-secondary",Index of change,Index,160,units ,0,100
2007/2008,Yukon,2016A000260,Post-secondary levels combined,Constant dollars,Dollars,81,units ,0,43
2007/2008,Yukon,2016A000260,Post-secondary levels combined,Percentage distribution of  expenditures,Percent,239,units ,0,28.7
2007/2008,Yukon,2016A000260,Post-secondary levels combined,Index of change,Index,160,units ,0,100
2007/2008,Yukon,2016A000260,College,Constant dollars,Dollars,81,units ,0,43
2007/2008,Yukon,2016A000260,College,Percentage distribution of  expenditures,Percent,239,units ,0,28.7
2007/2008,Yukon,2016A000260,College,Index of change,Index,160,units ,0,100
2007/2008,Yukon,2016A000260,University,Constant dollars,Dollars,81,units ,0,NULL
2007/2008,Yukon,2016A000260,University,Percentage distribution of  expenditures,Percent,239,units ,0,NULL
2007/2008,Yukon,2016A000260,University,Index of change,Index,160,units ,0,NULL
2007/2008,Northwest Territories,2016A000261,All levels combined,Constant dollars,Dollars,81,units ,0,363
2007/2008,Northwest Territories,2016A000261,All levels combined,Percentage distribution of  expenditures,Percent,239,units ,0,100
2007/2008,Northwest Territories,2016A000261,All levels combined,Index of change,Index,160,units ,0,100
2007/2008,Northwest Territories,2016A000261,"Pre-elementary, elementary-secondary",Constant dollars,Dollars,81,units ,0,238
2007/2008,Northwest Territories,2016A000261,"Pre-elementary, elementary-secondary",Percentage distribution of  expenditures,Percent,239,units ,0,65.5
2007/2008,Northwest Territories,2016A000261,"Pre-elementary, elementary-secondary",Index of change,Index,160,units ,0,100
2007/2008,Northwest Territories,2016A000261,Post-secondary levels combined,Constant dollars,Dollars,81,units ,0,125
2007/2008,Northwest Territories,2016A000261,Post-secondary levels combined,Percentage distribution of  expenditures,Percent,239,units ,0,34.5
2007/2008,Northwest Territories,2016A000261,Post-secondary levels combined,Index of change,Index,160,units ,0,100
2007/2008,Northwest Territories,2016A000261,College,Constant dollars,Dollars,81,units ,0,125
2007/2008,Northwest Territories,2016A000261,College,Percentage distribution of  expenditures,Percent,239,units ,0,34.5
2007/2008,Northwest Territories,2016A000261,College,Index of change,Index,160,units ,0,100
2007/2008,Northwest Territories,2016A000261,University,Constant dollars,Dollars,81,units ,0,NULL
2007/2008,Northwest Territories,2016A000261,University,Percentage distribution of  expenditures,Percent,239,units ,0,NULL
2007/2008,Northwest Territories,2016A000261,University,Index of change,Index,160,units ,0,NULL
2007/2008,Nunavut,2016A000262,All levels combined,Constant dollars,Dollars,81,units ,0,212
2007/2008,Nunavut,2016A000262,All levels combined,Percentage distribution of  expenditures,Percent,239,units ,0,100
2007/2008,Nunavut,2016A000262,All levels combined,Index of change,Index,160,units ,0,100
2007/2008,Nunavut,2016A000262,"Pre-elementary, elementary-secondary",Constant dollars,Dollars,81,units ,0,158
2007/2008,Nunavut,2016A000262,"Pre-elementary, elementary-secondary",Percentage distribution of  expenditures,Percent,239,units ,0,74.6
2007/2008,Nunavut,2016A000262,"Pre-elementary, elementary-secondary",Index of change,Index,160,units ,0,100
2007/2008,Nunavut,2016A000262,Post-secondary levels combined,Constant dollars,Dollars,81,units ,0,54
2007/2008,Nunavut,2016A000262,Post-secondary levels combined,Percentage distribution of  expenditures,Percent,239,units ,0,25.4
2007/2008,Nunavut,2016A000262,Post-secondary levels combined,Index of change,Index,160,units ,0,100
2007/2008,Nunavut,2016A000262,College,Constant dollars,Dollars,81,units ,0,54
2007/2008,Nunavut,2016A000262,College,Percentage distribution of  expenditures,Percent,239,units ,0,25.4
2007/2008,Nunavut,2016A000262,College,Index of change,Index,160,units ,0,100
2007/2008,Nunavut,2016A000262,University,Constant dollars,Dollars,81,units ,0,NULL
2007/2008,Nunavut,2016A000262,University,Percentage distribution of  expenditures,Percent,239,units ,0,NULL
2007/2008,Nunavut,2016A000262,University,Index of change,Index,160,units ,0,NULL
2008/2009,Canada,2016A000011124,All levels combined,Constant dollars,Dollars,81,units ,0,100920
2008/2009,Canada,2016A000011124,All levels combined,Percentage distribution of  expenditures,Percent,239,units ,0,100
2008/2009,Canada,2016A000011124,All levels combined,Index of change,Index,160,units ,0,101
2008/2009,Canada,2016A000011124,"Pre-elementary, elementary-secondary",Constant dollars,Dollars,81,units ,0,60542
2008/2009,Canada,2016A000011124,"Pre-elementary, elementary-secondary",Percentage distribution of  expenditures,Percent,239,units ,0,60
2008/2009,Canada,2016A000011124,"Pre-elementary, elementary-secondary",Index of change,Index,160,units ,0,103
2008/2009,Canada,2016A000011124,Post-secondary levels combined,Constant dollars,Dollars,81,units ,0,40378
2008/2009,Canada,2016A000011124,Post-secondary levels combined,Percentage distribution of  expenditures,Percent,239,units ,0,40
2008/2009,Canada,2016A000011124,Post-secondary levels combined,Index of change,Index,160,units ,0,98
2008/2009,Canada,2016A000011124,College,Constant dollars,Dollars,81,units ,0,15986
2008/2009,Canada,2016A000011124,College,Percentage distribution of  expenditures,Percent,239,units ,0,15.8
2008/2009,Canada,2016A000011124,College,Index of change,Index,160,units ,0,105
2008/2009,Canada,2016A000011124,University,Constant dollars,Dollars,81,units ,0,24392
2008/2009,Canada,2016A000011124,University,Percentage distribution of  expenditures,Percent,239,units ,0,24.2
2008/2009,Canada,2016A000011124,University,Index of change,Index,160,units ,0,94
2008/2009,Newfoundland and Labrador,2016A000210,All levels combined,Constant dollars,Dollars,81,units ,0,1493
2008/2009,Newfoundland and Labrador,2016A000210,All levels combined,Percentage distribution of  expenditures,Percent,239,units ,0,100
2008/2009,Newfoundland and Labrador,2016A000210,All levels combined,Index of change,Index,160,units ,0,94
2008/2009,Newfoundland and Labrador,2016A000210,"Pre-elementary, elementary-secondary",Constant dollars,Dollars,81,units ,0,843
2008/2009,Newfoundland and Labrador,2016A000210,"Pre-elementary, elementary-secondary",Percentage distribution of  expenditures,Percent,239,units ,0,56.5
2008/2009,Newfoundland and Labrador,2016A000210,"Pre-elementary, elementary-secondary",Index of change,Index,160,units ,0,95
2008/2009,Newfoundland and Labrador,2016A000210,Post-secondary levels combined,Constant dollars,Dollars,81,units ,0,650
2008/2009,Newfoundland and Labrador,2016A000210,Post-secondary levels combined,Percentage distribution of  expenditures,Percent,239,units ,0,43.5
2008/2009,Newfoundland and Labrador,2016A000210,Post-secondary levels combined,Index of change,Index,160,units ,0,92
2008/2009,Newfoundland and Labrador,2016A000210,College,Constant dollars,Dollars,81,units ,0,214
2008/2009,Newfoundland and Labrador,2016A000210,College,Percentage distribution of  expenditures,Percent,239,units ,0,14.3
2008/2009,Newfoundland and Labrador,2016A000210,College,Index of change,Index,160,units ,0,91
2008/2009,Newfoundland and Labrador,2016A000210,University,Constant dollars,Dollars,81,units ,0,437
2008/2009,Newfoundland and Labrador,2016A000210,University,Percentage distribution of  expenditures,Percent,239,units ,0,29.2
2008/2009,Newfoundland and Labrador,2016A000210,University,Index of change,Index,160,units ,0,93
2008/2009,Prince Edward Island,2016A000211,All levels combined,Constant dollars,Dollars,81,units ,0,440
2008/2009,Prince Edward Island,2016A000211,All levels combined,Percentage distribution of  expenditures,Percent,239,units ,0,100
2008/2009,Prince Edward Island,2016A000211,All levels combined,Index of change,Index,160,units ,0,110
2008/2009,Prince Edward Island,2016A000211,"Pre-elementary, elementary-secondary",Constant dollars,Dollars,81,units ,0,228
2008/2009,Prince Edward Island,2016A000211,"Pre-elementary, elementary-secondary",Percentage distribution of  expenditures,Percent,239,units ,0,51.8
2008/2009,Prince Edward Island,2016A000211,"Pre-elementary, elementary-secondary",Index of change,Index,160,units ,0,110
2008/2009,Prince Edward Island,2016A000211,Post-secondary levels combined,Constant dollars,Dollars,81,units ,0,212
2008/2009,Prince Edward Island,2016A000211,Post-secondary levels combined,Percentage distribution of  expenditures,Percent,239,units ,0,48.2
2008/2009,Prince Edward Island,2016A000211,Post-secondary levels combined,Index of change,Index,160,units ,0,110
2008/2009,Prince Edward Island,2016A000211,College,Constant dollars,Dollars,81,units ,0,79
